px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
5.90556	19.7846	5.133	3.5851	0.374767	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993	0.307625
5.90556	19.7846	5.133	3.5851	0.374767	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178	0
5.52538	19.5537	5.00534	3.64029	0.399691	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418	1.80954
5.52538	19.5537	5.00534	3.64029	0.399691	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995	0
5.11152	19.3561	4.93317	3.66062	0.373935	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622	0.700458
5.11152	19.3561	4.93317	3.66062	0.373935	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059	0
4.76084	19.0469	4.86592	3.74291	0.43506	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305	1.52776
4.76084	19.0469	4.86592	3.74291	0.43506	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359	0
4.39722	18.7861	4.79743	3.78404	0.432688	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422	0.471411
4.39722	18.7861	4.79743	3.78404	0.432688	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888	0
4.1021	18.4757	4.68822	3.85845	0.47602	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362	1.72603
4.1021	18.4757	4.68822	3.85845	0.47602	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644	0
3.65579	18.1773	4.81899	3.86564	0.41987	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732	2.60021
3.65579	18.1773	4.81899	3.86564	0.41987	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627	0
3.2468	17.8228	4.93139	3.90117	0.409703	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331	1.29207
3.2468	17.8228	4.93139	3.90117	0.409703	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844	0
2.89541	17.5994	4.78803	3.88928	0.340789	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167	3.35269
2.89541	17.5994	4.78803	3.88928	0.340789	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302	0
2.56209	17.2012	4.85539	3.95575	0.383292	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251	0.944374
2.56209	17.2012	4.85539	3.95575	0.383292	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014	0
2.24322	16.8385	4.85224	3.99837	0.38903	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595	0.0101033
2.24322	16.8385	4.85224	3.99837	0.38903	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995	0
