px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.40548	20.3205	4.98845	3.52506	0.480945	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717	3.45178
7.17336	20.224	4.98659	3.54706	0.475533	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399	0.219498
6.90837	20.1417	5.03595	3.55812	0.460472	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462	0.660974
6.68277	20.0502	5.01958	3.57393	0.448113	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357	0.482516
6.43473	19.9591	5.04552	3.58668	0.436988	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079	0.307707
6.21768	19.8655	5.02731	3.60419	0.433228	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625	2.85303
5.95449	19.7723	5.07633	3.61101	0.41597	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993	0.756956
5.72497	19.6263	5.11836	3.65038	0.450345	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178	1.95762
5.54965	19.5029	5.051	3.68066	0.460224	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418	1.42479
5.34836	19.3536	5.04495	3.71442	0.475293	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995	1.76209
5.13538	19.2519	5.03142	3.72473	0.460771	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622	1.92777
4.9439	19.1402	4.9701	3.7343	0.43514	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059	4.66554
4.78234	18.9888	4.91719	3.76944	0.451289	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305	0.742927
4.57342	18.8387	4.95153	3.79507	0.461608	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359	1.48374
4.39659	18.7068	4.91593	3.81567	0.459689	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422	1.12196
4.21496	18.5647	4.87222	3.82988	0.439975	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888	1.34522
4.09146	18.4091	4.79029	3.86826	0.46062	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362	2.01334
3.90721	18.2362	4.86843	3.9079	0.501966	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644	7.20075
3.65034	18.0952	4.95263	3.89934	0.461176	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732	2.65874
3.48817	17.9447	4.88558	3.91212	0.438007	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627	3.40354
3.26071	17.7779	4.94799	3.91607	0.415813	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331	1.17163
3.08083	17.5939	4.99532	3.94691	0.440139	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844	2.37876
2.90225	17.4763	4.95443	3.94707	0.416127	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167	6.14181
2.75985	17.2596	4.99743	3.9989	0.468801	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302	3.13058
2.58464	17.0736	5.00995	4.01645	0.46179	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251	0.0689814
2.42112	16.9077	4.94274	4.01922	0.422707	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014	2.11766
2.25699	16.7354	4.93544	4.03213	0.413438	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595	0.511844
2.08242	16.54	4.9307	4.03944	0.387431	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995	4.98006
1.9276	16.3097	4.96691	4.06767	0.396814	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216	2.25495
1.77115	16.1338	4.92382	4.07133	0.368527	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261	1.0366
1.56553	15.9655	4.95906	4.06009	0.333543	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132	1.73412
1.43838	15.7342	5.00983	4.10291	0.377845	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832	2.06581
1.26551	15.5162	5.05344	4.1132	0.367067	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364	0.797514
1.10878	15.3234	5.04076	4.11866	0.348166	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773	0.971137
0.896336	15.105	5.12263	4.11077	0.317344	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933	2.36576
0.749653	14.9247	5.06045	4.10997	0.286975	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977	2.47356
0.648321	14.7103	5.0258	4.14075	0.306494	0.737301	14.7047	0.71333	14.603	-2.78061	-4.29864	0.514621
0.535894	14.4689	5.06806	4.17837	0.343011	0.722177	14.2445	0.575628	14.3872	-2.72952	-4.33598	1.78736
0.361698	14.2467	5.1168	4.17829	0.322243	0.253435	14.2029	0.440459	14.1696	-2.67925	-4.37181	0.839721
0.239434	13.9944	5.2003	4.21537	0.363705	-0.0328023	13.9604	0.307779	13.9502	-2.62984	-4.40617	3.07302
0.226084	13.7459	5.12011	4.27974	0.41882	0.459172	13.6856	0.177545	13.7292	-2.58135	-4.43909	3.75199
0.122399	13.503	5.16204	4.30812	0.435103	0.0524412	13.6377	0.0497099	13.5065	-2.53381	-4.47061	0.97294
-0.0446588	13.272	5.21231	4.30098	0.399858	-0.190344	13.2856	-0.0757753	13.2823	-2.48728	-4.50075	1.3968
-0.162708	13.054	5.16603	4.30447	0.371639	-0.275043	13.1456	-0.198962	13.0566	-2.44179	-4.52955	1.12859
-0.165956	12.8283	5.07489	4.361	0.418939	0.0462308	12.9301	-0.319903	12.8295	-2.39739	-4.55704	3.43088
-0.283943	12.6032	5.03518	4.35894	0.38085	-0.684792	12.3563	-0.438654	12.6011	-2.35412	-4.58326	3.50531
-0.403311	12.3676	5.05932	4.36311	0.362404	-0.476482	12.3633	-0.555273	12.3714	-2.31202	-4.60823	0.35072
-0.526795	12.1592	5.02368	4.35525	0.324897	-0.972122	12.5207	-0.669818	12.1404	-2.27111	-4.63198	3.78359
-0.604293	11.9402	4.99819	4.37254	0.326737	-0.582624	12.0386	-0.78235	11.9083	-2.23144	-4.65456	0.531915
